,date,price,note,status,data_index,instru,unit
213,20011012,605.9,exit,long,367,13,0
214,20011018,1381.625,exit,short,355,34,0
215,20011022,-56.75,entry,short,350,28,0
216,20011022,1.0467999999999997,exit,long,364,7,0
217,20011023,30.2105,exit,short,440,20,0
218,20011024,1.1235,entry,short,350,16,0
219,20011025,18.439999999999998,exit,short,372,29,0
220,20011025,240.925,entry,short,352,18,0
221,20011101,246.05,exit,short,420,18,0
222,20011105,1041.0,entry,short,356,31,0
223,20011105,45.95,exit,short,447,1,0
224,20011108,68.465,exit,short,371,6,0
225,20011116,13.445,exit,short,499,26,0
226,20011203,0.61985,exit,short,450,4,0
227,20011210,1055.55,exit,short,390,31,0
228,20011211,594.7,entry,short,380,13,0
229,20011226,125.873,entry,long,400,8,0
230,20011227,0.18295,exit,short,396,25,0
231,20011227,2.0994,exit,short,438,15,0
232,20011227,136.66,exit,short,436,5,0
233,20020103,1.0503,entry,long,397,7,0
234,20020104,0.0937,entry,long,398,19,0
235,20020108,1095.8,entry,long,397,31,0
236,20020109,0.14584999999999998,entry,long,401,0,0
237,20020110,608.75,exit,short,399,13,0
238,20020114,1398.5,entry,long,406,34,0
239,20020114,-38.5,exit,short,409,28,0
240,20020114,609.7,entry,long,401,13,0
241,20020115,0.0875,exit,long,545,19,0
242,20020118,1079.3,exit,long,536,31,0
243,20020123,11815.0,entry,short,412,21,0
244,20020125,600.6,exit,long,535,13,0
245,20020128,1.01415,exit,long,413,7,0
246,20020128,1.00715,entry,short,413,7,0
247,20020130,1022.01,entry,short,416,32,0
248,20020130,18.130000000000003,entry,short,409,29,0
249,20020131,0.12915,exit,long,536,0,0
250,20020131,1371.75,exit,long,421,34,0
251,20020201,0.8543000000000001,entry,short,417,30,0
252,20020204,121.05,entry,long,415,14,0
253,20020207,1367.125,entry,short,423,34,0
254,20020215,11802.5,exit,short,439,21,0
255,20020220,68.16999999999999,entry,short,423,6,0
256,20020220,118.5,exit,long,530,14,0
257,20020221,66.01565,entry,long,430,12,0
258,20020222,38.16405,entry,long,431,33,0
259,20020228,674.25,entry,long,432,24,0
260,20020305,122.925,entry,short,440,10,0
261,20020305,1086.46,exit,short,623,32,0
262,20020306,18.265,exit,short,481,29,0
263,20020306,456.55,entry,short,436,23,0
264,20020307,124.97299999999998,exit,long,479,8,0
265,20020307,1.0815,exit,short,441,16,0
266,20020308,71.245,exit,short,502,6,0
267,20020308,34.2032,exit,long,442,33,0
268,20020308,64.80475,exit,long,446,12,0
269,20020308,1.03055,exit,short,469,7,0
270,20020311,32.976600000000005,entry,short,442,33,0
271,20020312,241.575,entry,short,445,18,0
272,20020314,0.29115,entry,long,442,25,0
273,20020315,0.8787,exit,short,470,30,0
274,20020319,133.3,entry,short,450,17,0
275,20020326,497.55,exit,short,557,23,0
276,20020326,63.3672,entry,short,453,12,0
277,20020328,-14.0,entry,long,457,28,0
278,20020328,140.225,entry,long,452,5,0
279,20020328,1378.25,exit,short,511,34,0
280,20020403,2.2106000000000003,entry,long,455,15,0
281,20020412,139.87,exit,long,599,5,0
282,20020412,0.31755,exit,long,612,25,0
283,20020415,65.4297,exit,short,486,12,0
284,20020415,2.1102499999999997,exit,long,599,15,0
285,20020416,91.8075,entry,long,467,9,0
286,20020416,94.865,entry,long,467,11,0
287,20020416,35.6094,exit,short,507,33,0
288,20020418,117.2625,exit,short,551,10,0
289,20020418,232.275,exit,short,596,18,0
290,20020418,1.305,entry,long,469,2,0
291,20020419,0.8791,entry,long,470,30,0
292,20020425,122.753,entry,short,484,8,0
293,20020426,1.04955,entry,long,475,7,0
294,20020429,0.6255,entry,long,476,4,0
295,20020501,30.647,entry,long,475,20,0
296,20020501,128.9875,exit,short,523,17,0
297,20020502,698.25,exit,long,531,24,0
298,20020513,66.2578,entry,long,486,12,0
