,date,price,note,instru,left_equity,unit
189,20100406,150.28500000000003,Entry,4,-10856174.075,8750
190,20100409,122.25,Entry,10,-12506549.075,13500
191,20100422,82.34375,Entry,6,-13947564.7,17500
192,20100423,659.25,Entry,8,-14606814.7,1000
193,20100423,1.18695,Exit,0,-13619272.299999999,0
194,20100510,138.435,Exit,4,-12407966.049999999,0
195,20100513,605.75,Exit,8,-11802216.049999999,0
196,20100519,1.2151999999999998,Entry,0,-13003441.249999998,988500
197,20100526,117.8,Exit,10,-11413141.249999998,0
198,20100716,674.25,Entry,8,-11918828.749999998,750
199,20100729,121.4375,Entry,10,-13983266.249999998,17000
200,20100901,21.285,Entry,7,-14499427.499999998,24250
201,20100929,1.6395499999999998,Entry,5,-16719378.199999997,1354000
202,20101207,143.5,Entry,4,-18190253.199999996,10250
203,20101221,1.5955,Exit,5,-16029946.199999996,0
204,20110105,89.0625,Exit,6,-14471352.449999996,0
205,20110124,1.6494,Entry,5,-16963183.499999996,1510750
206,20110217,135.935,Exit,4,-15569849.749999996,0
207,20110223,146.04,Entry,4,-16811189.749999996,8500
208,20110318,92.5078,Entry,6,-18198806.749999996,15000
209,20110412,88.40625,Exit,6,-16872712.999999996,0
210,20110419,91.85935,Entry,6,-18595075.812499996,18750
211,20110524,117.775,Exit,10,-16592900.812499996,0
212,20110622,138.87,Exit,4,-15412505.812499996,0
213,20110708,129.0625,Entry,10,-16864458.937499996,11250
214,20110725,122.07499999999999,Exit,10,-15491115.187499996,0
215,20110808,125.8375,Entry,10,-17252840.187499996,14000
216,20110824,122.1875,Exit,10,-15542215.187499996,0
217,20110915,128.8125,Entry,10,-17538808.937499996,15500
218,20110916,1.62185,Exit,5,-15088599.049999997,0
219,20110929,1618.7,Exit,9,-13874574.049999997,0
220,20111005,809.25,Exit,8,-13267636.549999997,0
221,20111018,91.785,Exit,3,-12395679.049999997,0
222,20111117,147.055,Entry,4,-13461827.799999997,7250
223,20120228,1809.2,Entry,9,-14818727.799999997,750
224,20120229,941.625,Entry,8,-15995759.049999997,1250
225,20120302,1.3207,Exit,0,-14690247.099999998,0
226,20120330,121.75,Exit,10,-12803122.099999998,0
227,20120330,1718.35,Exit,9,-11514359.599999998,0
228,20120402,1.6512,Entry,5,-14604167.599999998,1871250
229,20120430,30.515,Exit,7,-13864178.849999998,0
230,20120516,135.3,Exit,4,-12883253.849999998,0
231,20120517,1685.1999999999998,Exit,1,-12040653.849999998,0
232,20120531,1.5902500000000002,Exit,5,-9064898.537499998,0
233,20120601,1.3749,Entry,0,-11973843.212499999,2115750
